epoch,train_loss,val_loss,fused_loss,seg_loss,rec_loss
1,0.005141,0.000028,0.000823,0.003198,0.020041
2,0.000080,0.000028,0.000027,0.000066,0.000253
3,0.000044,0.000020,0.000023,0.000036,0.000112
4,0.000032,0.000016,0.000020,0.000025,0.000075
5,0.000027,0.000015,0.000017,0.000021,0.000061
6,0.000027,0.000015,0.000017,0.000023,0.000059
7,0.000022,0.000013,0.000014,0.000017,0.000051
8,0.000022,0.000013,0.000014,0.000017,0.000052
9,0.000021,0.000014,0.000014,0.000016,0.000049
10,0.000020,0.000014,0.000013,0.000015,0.000046
11,0.000019,0.000011,0.000012,0.000014,0.000044
12,0.000018,0.000011,0.000012,0.000014,0.000042
13,0.000018,0.000012,0.000012,0.000014,0.000041
14,0.000018,0.000012,0.000011,0.000013,0.000042
15,0.000017,0.000012,0.000011,0.000013,0.000039
16,0.000017,0.000011,0.000011,0.000013,0.000039
17,0.000017,0.000012,0.000011,0.000012,0.000039
18,0.000016,0.000010,0.000010,0.000012,0.000038
19,0.000016,0.000010,0.000010,0.000012,0.000037
20,0.000016,0.000011,0.000010,0.000012,0.000037
21,0.000016,0.000010,0.000010,0.000012,0.000037
22,0.000015,0.000012,0.000010,0.000011,0.000035
23,0.000015,0.000011,0.000009,0.000011,0.000035
24,0.000015,0.000018,0.000009,0.000011,0.000034
25,0.000015,0.000010,0.000009,0.000011,0.000034
26,0.000015,0.000011,0.000009,0.000011,0.000034
27,0.000014,0.000009,0.000009,0.000011,0.000033
28,0.000014,0.000012,0.000009,0.000011,0.000033
29,0.000015,0.000016,0.000009,0.000011,0.000034
30,0.000014,0.000011,0.000009,0.000010,0.000032
31,0.000014,0.000018,0.000009,0.000010,0.000032
32,0.000013,0.000011,0.000009,0.000010,0.000031
33,0.000013,0.000010,0.000008,0.000010,0.000031
34,0.000013,0.000009,0.000008,0.000010,0.000030
35,0.000012,0.000011,0.000008,0.000010,0.000029
36,0.000012,0.000008,0.000008,0.000010,0.000029
37,0.000012,0.000009,0.000008,0.000010,0.000029
38,0.000012,0.000010,0.000008,0.000010,0.000029
39,0.000012,0.000009,0.000008,0.000010,0.000028
40,0.000012,0.000010,0.000008,0.000009,0.000028
41,0.000012,0.000020,0.000008,0.000010,0.000028
42,0.000012,0.000009,0.000008,0.000010,0.000028
43,0.000011,0.000009,0.000007,0.000009,0.000026
44,0.000011,0.000014,0.000007,0.000009,0.000026
45,0.000011,0.000009,0.000007,0.000009,0.000026
46,0.000011,0.000009,0.000007,0.000009,0.000026
47,0.000011,0.000009,0.000007,0.000009,0.000026
48,0.000011,0.000008,0.000007,0.000009,0.000025
49,0.000011,0.000010,0.000007,0.000009,0.000025
50,0.000011,0.000009,0.000007,0.000009,0.000025
51,0.000010,0.000009,0.000006,0.000009,0.000024
52,0.000010,0.000008,0.000006,0.000009,0.000024
53,0.000010,0.000008,0.000006,0.000009,0.000024
54,0.000010,0.000010,0.000006,0.000009,0.000024
55,0.000010,0.000010,0.000006,0.000008,0.000023
56,0.000010,0.000010,0.000006,0.000009,0.000024
57,0.000010,0.000008,0.000006,0.000008,0.000023
58,0.000010,0.000012,0.000006,0.000008,0.000022
59,0.000010,0.000009,0.000006,0.000008,0.000023
60,0.000010,0.000010,0.000006,0.000008,0.000022
