epoch,train_loss,val_loss,fused_loss,seg_loss,rec_loss
1,0.004697,0.000026,0.000761,0.002778,0.018423
2,0.000222,0.000008,0.000014,0.000191,0.000876
3,0.000078,0.000006,0.000008,0.000066,0.000299
4,0.000041,0.000007,0.000006,0.000035,0.000150
5,0.000026,0.000006,0.000006,0.000022,0.000092
6,0.000019,0.000005,0.000005,0.000016,0.000063
7,0.000015,0.000005,0.000005,0.000012,0.000047
8,0.000012,0.000004,0.000005,0.000010,0.000036
9,0.000010,0.000004,0.000005,0.000008,0.000030
10,0.000009,0.000004,0.000005,0.000007,0.000025
11,0.000008,0.000004,0.000004,0.000007,0.000022
12,0.000010,0.000004,0.000005,0.000008,0.000027
13,0.000007,0.000006,0.000004,0.000006,0.000019
14,0.000007,0.000005,0.000004,0.000005,0.000017
15,0.000006,0.000006,0.000004,0.000005,0.000015
16,0.000006,0.000003,0.000004,0.000005,0.000015
17,0.000006,0.000004,0.000004,0.000005,0.000014
18,0.000006,0.000004,0.000004,0.000005,0.000013
19,0.000006,0.000004,0.000004,0.000005,0.000013
20,0.000006,0.000003,0.000003,0.000005,0.000013
21,0.000005,0.000003,0.000003,0.000004,0.000011
22,0.000005,0.000003,0.000003,0.000004,0.000011
23,0.000005,0.000003,0.000003,0.000004,0.000012
24,0.000005,0.000003,0.000003,0.000004,0.000011
25,0.000005,0.000004,0.000003,0.000004,0.000010
26,0.000005,0.000003,0.000003,0.000004,0.000011
27,0.000005,0.000003,0.000003,0.000003,0.000011
28,0.000004,0.000003,0.000003,0.000003,0.000010
29,0.000004,0.000003,0.000003,0.000003,0.000010
30,0.000004,0.000003,0.000003,0.000003,0.000010
31,0.000004,0.000002,0.000003,0.000003,0.000010
32,0.000004,0.000003,0.000003,0.000003,0.000010
33,0.000004,0.000002,0.000003,0.000003,0.000010
34,0.000004,0.000003,0.000002,0.000003,0.000009
35,0.000004,0.000003,0.000002,0.000003,0.000009
36,0.000004,0.000002,0.000002,0.000003,0.000009
37,0.000004,0.000003,0.000002,0.000003,0.000009
38,0.000004,0.000003,0.000002,0.000003,0.000009
39,0.000004,0.000002,0.000002,0.000003,0.000009
40,0.000004,0.000002,0.000002,0.000003,0.000008
41,0.000004,0.000002,0.000002,0.000003,0.000009
42,0.000003,0.000002,0.000002,0.000003,0.000008
43,0.000003,0.000002,0.000002,0.000003,0.000008
44,0.000003,0.000003,0.000002,0.000003,0.000008
45,0.000003,0.000002,0.000002,0.000003,0.000008
46,0.000003,0.000002,0.000002,0.000003,0.000008
47,0.000003,0.000002,0.000002,0.000003,0.000008
48,0.000003,0.000003,0.000002,0.000002,0.000008
49,0.000003,0.000003,0.000002,0.000002,0.000008
50,0.000003,0.000002,0.000002,0.000002,0.000008
51,0.000003,0.000002,0.000002,0.000002,0.000007
52,0.000003,0.000002,0.000002,0.000002,0.000008
53,0.000003,0.000004,0.000002,0.000002,0.000008
54,0.000003,0.000002,0.000002,0.000002,0.000008
55,0.000003,0.000003,0.000002,0.000002,0.000008
56,0.000003,0.000002,0.000002,0.000002,0.000008
57,0.000003,0.000002,0.000002,0.000002,0.000007
58,0.000003,0.000003,0.000002,0.000002,0.000007
59,0.000003,0.000002,0.000002,0.000002,0.000007
60,0.000003,0.000002,0.000002,0.000002,0.000007
